class,model,kernel,mmd²,p_value,effect_size,params
489,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 2.2089, -0.0146,  0.1562,  ...,  0.2308, -0.4824, -0.2063],
        [-0.0146,  2.3546, -0.5625,  ..., -0.0378, -0.2605, -0.0275],
        [ 0.1562, -0.5625,  2.0135,  ..., -0.2229,  0.0036, -0.0873],
        ...,
        [ 0.2309, -0.0378, -0.2229,  ...,  2.1200,  0.0583, -0.0304],
        [-0.4824, -0.2605,  0.0036,  ...,  0.0583,  2.4006, -0.4470],
        [-0.2063, -0.0275, -0.0873,  ..., -0.0304, -0.4470,  2.1085]],
       device='cuda:0')}"
489,bgan,mixed_kernel,0.12651079893112183,0.0019960079807788134,0.12651079893112183,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(635.6720, device='cuda:0'), 'alpha': 0.5}"
489,bgan,w2_ot,30.509784860628137,,,{}
489,midj,rbf_kernel,0.0993809700012207,0.0019960079807788134,5.66289818380028e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
489,midj,laplacian_kernel,0.07334238290786743,0.0019960079807788134,0.00011537771206349134,"{'sigma': tensor(635.6720, device='cuda:0')}"
489,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.8681e+00, -3.1363e-01,  3.6872e-04,  ...,  4.7318e-02,
          1.1000e-01, -3.0661e-01],
        [-3.1362e-01,  4.3971e+00,  3.6424e-01,  ...,  4.3077e-01,
         -7.3210e-02, -3.0212e-01],
        [ 3.5354e-04,  3.6424e-01,  4.1255e+00,  ...,  2.8577e-01,
          3.4263e-01,  3.2567e-01],
        ...,
        [ 4.7282e-02,  4.3076e-01,  2.8576e-01,  ...,  4.4886e+00,
          3.2234e-01,  6.4988e-02],
        [ 1.1002e-01, -7.3272e-02,  3.4263e-01,  ...,  3.2229e-01,
          4.8509e+00, -4.6959e-01],
        [-3.0662e-01, -3.0209e-01,  3.2570e-01,  ...,  6.5034e-02,
         -4.6961e-01,  4.4832e+00]], device='cuda:0')}"
489,midj,mixed_kernel,0.08636176586151123,0.0019960079807788134,0.08636176586151123,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(635.6720, device='cuda:0'), 'alpha': 0.5}"
489,midj,w2_ot,24.883601855154275,,,{}
489,sd_15,rbf_kernel,0.09078872203826904,0.0019960079807788134,5.173297176952474e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
489,sd_15,laplacian_kernel,0.06345254182815552,0.0019960079807788134,9.981962648453191e-05,"{'sigma': tensor(635.6720, device='cuda:0')}"
489,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.3340e+00,  2.0321e-01, -6.2050e-02,  ...,  1.6671e-01,
          6.3774e-02, -1.2752e-01],
        [ 2.0322e-01,  3.3086e+00, -3.5253e-03,  ...,  8.2751e-02,
         -1.0211e-01,  3.7877e-02],
        [-6.2017e-02, -3.5205e-03,  3.5446e+00,  ..., -2.4256e-01,
         -6.5926e-01,  4.8765e-01],
        ...,
        [ 1.6670e-01,  8.2768e-02, -2.4256e-01,  ...,  3.5366e+00,
         -6.7773e-01, -4.7737e-01],
        [ 6.3795e-02, -1.0212e-01, -6.5923e-01,  ..., -6.7769e-01,
          3.7131e+00,  1.7067e-02],
        [-1.2757e-01,  3.7887e-02,  4.8770e-01,  ..., -4.7740e-01,
          1.7019e-02,  3.4202e+00]], device='cuda:0')}"
489,sd_15,mixed_kernel,0.07712054252624512,0.0019960079807788134,0.07712054252624512,"{'gamma_rbf': tensor(0.0006, device='cuda:0'), 'sigma_lap': tensor(635.6720, device='cuda:0'), 'alpha': 0.5}"
489,sd_15,w2_ot,25.677384878523966,,,{}
969,bgan,rbf_kernel,0.10628962516784668,0.0019960079807788134,6.684571417281404e-05,"{'gamma': tensor(0.0006, device='cuda:0')}"
969,bgan,laplacian_kernel,0.06943273544311523,0.0019960079807788134,0.00011240372259635478,"{'sigma': tensor(617.7085, device='cuda:0')}"
969,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.3142,  0.0500,  0.2299,  ..., -0.1448,  0.0324, -0.2981],
        [ 0.0500,  3.3015, -0.1932,  ..., -0.4033,  0.3553, -0.0847],
        [ 0.2298, -0.1932,  2.9922,  ..., -0.1547,  0.3206,  0.5323],
        ...,
        [-0.1448, -0.4033, -0.1547,  ...,  3.3272,  0.2084,  0.1459],
        [ 0.0324,  0.3553,  0.3206,  ...,  0.2084,  3.2608,  0.1139],
        [-0.2981, -0.0847,  0.5323,  ...,  0.1459,  0.1139,  2.7875]],
       device='cuda:0')}"
